Freq (GHz),s11dB,s11phs,s21db,s21phs
8.41,-5.920779963,-176.0452531,-1.420754825,97.24224678
8.429,-6.303353611,-177.6543275,-1.255813743,94.45335468
8.448,-6.701097912,-179.2160805,-1.099728554,91.63272141
8.467,-7.114599119,179.27416,-0.952855714,88.78438578
8.486,-7.544509394,177.8215831,-0.815487981,85.91268293
8.505,-7.991555245,176.4320173,-0.687847282,83.02218762
8.524,-8.456546442,175.112082,-0.570079037,80.11764884
8.543,-8.940385252,173.8693762,-0.462248248,77.20391764
8.562,-9.444075698,172.7127138,-0.364337536,74.2858709
8.581,-9.968732283,171.6524198,-0.276247235,71.3683337
8.6,-10.51558724,170.7007022,-0.197797544,68.45600311
8.619,-11.08599475,169.8721236,-0.128732625,65.55337635
8.638,-11.6814294,169.1841998,-0.068726435,62.66468567
8.657,-12.3034747,168.6581619,-0.017390022,59.79384204
8.676,-12.95379437,168.3199249,-3.95374E-14,56.94438906
8.695,-13.63407494,168.2013141,-5.49667E-14,54.11946806
8.714,-14.34592063,168.3415981,3.08585E-14,51.3217946
8.733,-15.09067007,168.7893588,-3.85731E-15,48.55364591
8.752,-15.86908553,169.6046612,7.71462E-15,45.81685878
8.771,-16.68083798,170.8613234,1.35006E-14,43.1128365
8.79,-17.52367213,172.6487183,-5.0145E-14,40.44256355
8.809,-18.39209244,175.0718061,-3.85731E-15,37.80662654
8.828,-19.27539292,178.2467805,2.89298E-14,35.2052399
8.847,-20.15495176,-177.7121836,1.92865E-15,32.63827477
8.866,-21.00113223,-172.7211082,-3.47158E-14,30.10528982
8.885,-21.77117463,-166.7730254,7.71462E-15,27.60556283
8.904,-22.41110804,-159.9948286,-2.50725E-14,25.13812205
8.923,-22.86544162,-152.6822126,2.89298E-14,22.70177654
8.942,-23.09472343,-145.267983,3.85731E-14,20.29514501
8.961,-23.09235243,-138.2138188,-3.27871E-14,17.91668256
8.98,-22.88784167,-131.8838324,3.08585E-14,15.56470527
8.999,-22.53369729,-126.4769761,3.85731E-15,13.2374124
9.018,-22.08667039,-122.037998,-3.27871E-14,10.93290609
9.037,-21.59481485,-118.5101782,-0.013972277,8.649208879
9.056,-21.09311955,-115.7887574,-0.028789221,6.384278836
9.075,-20.60459688,-113.7571547,-0.042622604,4.136022717
9.094,-20.14327081,-112.3059434,-0.055309144,1.902307217
9.113,-19.71711705,-111.3404035,-0.066712053,-0.319031437
9.132,-19.33031974,-110.7819958,-0.07672026,-2.530179318
9.151,-18.98482326,-110.5671418,-0.085247702,-4.733337846
9.17,-18.68134225,-110.6451026,-0.092232744,-6.930717804
9.189,-18.42000266,-110.9757848,-0.097637703,-9.124534094
9.208,-18.20074649,-111.5278055,-0.101448512,-11.31700101
